ticker,collection_timestamp,realized_vol_30d,realized_vol_90d,realized_vol_120d,realized_vol_260d,implied_vol_1m_atm,implied_vol_3m_atm,implied_vol_6m_atm
AVGO US Equity,2025-07-18T20:51:07.336285,32.896238450476766,53.29929477179902,55.183158036805004,60.72529316224683,,40.7637,41.6977
JPM US Equity,2025-07-18T20:51:07.336387,18.20655191965734,31.282231654754206,30.687892079089053,28.457173008193344,,22.1268,23.232
TSLA US Equity,2025-07-18T20:51:07.336444,55.14627744919952,78.23735746792578,78.00375508578207,73.53849290845214,,52.1023,53.6837
WMT US Equity,2025-07-18T20:51:07.336496,15.943556382331742,27.311124771080625,29.28067741839202,24.073180042951304,,23.7194,23.971
V US Equity,2025-07-18T20:51:07.336578,27.46429549048861,29.53820240026373,27.28606318672307,23.380031123064455,,22.1856,22.9883
UNH US Equity,2025-07-18T20:51:08.347530,32.888179851954966,67.98346214025246,61.014327063682714,47.49519688797906,,46.1727,42.8303
XOM US Equity,2025-07-18T20:51:08.347622,26.23139865649512,30.11846584463064,29.328012952282762,24.905830160941814,,21.5895,21.8383
MA US Equity,2025-07-18T20:51:08.347884,28.27998732163181,29.650157758813446,27.68186132111472,22.932143805461553,,21.4373,22.2407
PG US Equity,2025-07-18T20:51:08.347953,14.607077972274956,21.59743567591849,21.529040040527835,19.7282984817468,,19.7144,19.3056
JNJ US Equity,2025-07-18T20:51:08.348006,22.3793667830134,25.016286711143902,23.13033767643878,20.16528685261715,,15.2266,16.0118
COST US Equity,2025-07-18T20:51:08.348062,14.16338677797058,24.550305935570833,26.063206897597762,22.595255320229334,,21.6485,22.571
HD US Equity,2025-07-18T20:51:08.348140,18.962940785582735,25.675176774206363,24.75653333471737,23.051335583738393,,22.7407,23.3301
