date,ticker,1MTH_IMPVOL_100.0%MNY_DF,3MTH_IMPVOL_100.0%MNY_DF,6MTH_IMPVOL_100.0%MNY_DF
2024-01-02,AAPL US Equity,,21.5805,22.5452
2024-01-03,AAPL US Equity,,21.1666,22.2754
2024-01-04,AAPL US Equity,,21.921,22.8029
2024-01-05,AAPL US Equity,,21.6624,22.5272
2024-01-08,AAPL US Equity,,20.7849,21.781
2024-01-09,AAPL US Equity,,21.0185,21.8324
2024-01-10,AAPL US Equity,,20.8173,21.5643
2024-01-11,AAPL US Equity,,20.7368,21.4688
2024-01-12,AAPL US Equity,,20.6508,21.4384
2024-01-16,AAPL US Equity,,20.8513,21.5692
2024-01-17,AAPL US Equity,,21.2265,21.8712
2024-01-18,AAPL US Equity,,20.5009,21.0377
2024-01-19,AAPL US Equity,,20.0101,21.0122
2024-01-22,AAPL US Equity,,19.7047,20.5555
2024-01-23,AAPL US Equity,,19.5187,20.4326
2024-01-24,AAPL US Equity,,19.7686,20.5013
2024-01-25,AAPL US Equity,,20.2398,20.7467
2024-01-26,AAPL US Equity,,20.6301,21.0818
2024-01-29,AAPL US Equity,,21.0558,21.3366
2024-01-30,AAPL US Equity,,21.6243,21.731
2024-01-31,AAPL US Equity,,22.3402,22.3081
2024-02-01,AAPL US Equity,,22.0076,22.0268
2024-02-02,AAPL US Equity,,20.5965,21.4208
2024-02-05,AAPL US Equity,,20.0331,20.7283
2024-02-06,AAPL US Equity,,19.8035,20.516
2024-02-07,AAPL US Equity,,19.5842,20.292
2024-02-08,AAPL US Equity,,19.7029,20.4965
2024-02-09,AAPL US Equity,,19.6184,20.367
2024-02-12,AAPL US Equity,,19.9109,20.735
2024-02-13,AAPL US Equity,,20.7648,21.2095
2024-02-14,AAPL US Equity,,20.4125,20.7836
2024-02-15,AAPL US Equity,,20.7643,20.8572
2024-02-16,AAPL US Equity,,21.4868,22.0156
2024-02-20,AAPL US Equity,,21.6183,22.2397
2024-02-21,AAPL US Equity,,21.3842,21.8871
2024-02-22,AAPL US Equity,,20.5363,21.2017
2024-02-23,AAPL US Equity,,20.6409,21.2743
2024-02-26,AAPL US Equity,,20.661,21.2971
2024-02-27,AAPL US Equity,,20.866,21.2606
2024-02-28,AAPL US Equity,,21.1782,21.514
2024-02-29,AAPL US Equity,,21.1247,21.4873
2024-03-01,AAPL US Equity,,21.2895,21.3871
2024-03-04,AAPL US Equity,,22.5578,22.4127
2024-03-05,AAPL US Equity,,23.6345,23.2047
2024-03-06,AAPL US Equity,,23.5184,22.9472
2024-03-07,AAPL US Equity,,23.8232,23.263
2024-03-08,AAPL US Equity,,23.7633,23.0371
2024-03-11,AAPL US Equity,,23.3324,22.6574
2024-03-12,AAPL US Equity,,22.8272,22.2928
2024-03-13,AAPL US Equity,,22.9564,22.4228
2024-03-14,AAPL US Equity,,23.1774,22.5669
2024-03-15,AAPL US Equity,,23.3272,22.6892
2024-03-18,AAPL US Equity,,23.2578,22.5504
2024-03-19,AAPL US Equity,,22.7271,22.1885
2024-03-20,AAPL US Equity,,22.3526,21.6041
2024-03-21,AAPL US Equity,,24.3992,23.1703
2024-03-22,AAPL US Equity,,23.711,23.077
2024-03-25,AAPL US Equity,,23.5672,22.9914
2024-03-26,AAPL US Equity,,23.3855,22.8768
2024-03-27,AAPL US Equity,,23.0373,22.5554
2024-03-28,AAPL US Equity,,23.4296,22.9144
2024-04-01,AAPL US Equity,,23.3812,22.9788
2024-04-02,AAPL US Equity,,23.4127,22.9851
2024-04-03,AAPL US Equity,,23.3852,22.8359
2024-04-04,AAPL US Equity,,24.0762,23.4448
2024-04-05,AAPL US Equity,,23.5197,23.0977
2024-04-08,AAPL US Equity,,23.3081,22.9983
2024-04-09,AAPL US Equity,,22.8088,22.5613
2024-04-10,AAPL US Equity,,23.5886,22.9407
2024-04-11,AAPL US Equity,,23.3184,22.9386
2024-04-12,AAPL US Equity,,24.2785,23.5081
2024-04-15,AAPL US Equity,,24.7425,23.8227
2024-04-16,AAPL US Equity,,25.0632,23.9507
2024-04-17,AAPL US Equity,,25.1298,24.0816
2024-04-18,AAPL US Equity,,25.4733,24.3693
2024-04-19,AAPL US Equity,,25.6883,24.9566
2024-04-22,AAPL US Equity,,24.6501,24.142
2024-04-23,AAPL US Equity,,24.0563,23.6021
2024-04-24,AAPL US Equity,,23.8828,23.326
2024-04-25,AAPL US Equity,,24.3707,23.7136
2024-04-26,AAPL US Equity,,24.033,23.567
2024-04-29,AAPL US Equity,,24.1813,23.4907
2024-04-30,AAPL US Equity,,24.9948,24.1359
2024-05-01,AAPL US Equity,,25.0348,24.0539
2024-05-02,AAPL US Equity,,24.455,23.8292
2024-05-03,AAPL US Equity,,20.2399,21.2038
2024-05-06,AAPL US Equity,,20.6408,21.5266
2024-05-07,AAPL US Equity,,20.0092,21.093
2024-05-08,AAPL US Equity,,19.9317,20.9739
2024-05-09,AAPL US Equity,,19.6704,20.766
2024-05-10,AAPL US Equity,,19.6314,20.7512
2024-05-13,AAPL US Equity,,19.9652,21.0274
2024-05-14,AAPL US Equity,,19.4411,20.6941
2024-05-15,AAPL US Equity,,19.0506,20.3582
2024-05-16,AAPL US Equity,,19.1695,20.3933
2024-05-17,AAPL US Equity,,18.7867,20.5214
