date,ticker,VOLATILITY_30D,VOLATILITY_90D,VOLATILITY_120D,VOLATILITY_260D
2024-01-02,AAPL US Equity,16.945,19.519,20.249,21.345
2024-01-03,AAPL US Equity,16.77,19.456,20.277,21.363
2024-01-04,AAPL US Equity,17.1,19.529,20.192,21.292
2024-01-05,AAPL US Equity,17.039,19.184,20.198,21.147
2024-01-08,AAPL US Equity,18.613,19.347,20.489,21.264
2024-01-09,AAPL US Equity,18.618,19.349,20.44,21.212
2024-01-10,AAPL US Equity,18.682,19.318,20.441,20.962
2024-01-11,AAPL US Equity,18.642,19.323,20.434,20.798
2024-01-12,AAPL US Equity,18.622,18.284,20.424,20.798
2024-01-16,AAPL US Equity,18.788,17.678,20.488,20.462
2024-01-17,AAPL US Equity,18.659,17.695,20.48,20.454
2024-01-18,AAPL US Equity,20.135,18.481,20.938,20.647
2024-01-19,AAPL US Equity,20.65,18.395,21.061,20.4
2024-01-22,AAPL US Equity,20.75,18.357,21.13,20.426
2024-01-23,AAPL US Equity,20.726,18.335,21.026,20.43
2024-01-24,AAPL US Equity,20.368,18.329,21.003,20.344
2024-01-25,AAPL US Equity,20.235,18.136,19.676,20.345
2024-01-26,AAPL US Equity,19.725,18.194,19.546,20.354
2024-01-29,AAPL US Equity,19.733,17.846,19.543,20.346
2024-01-30,AAPL US Equity,20.478,18.107,19.716,20.441
2024-01-31,AAPL US Equity,21.076,18.425,19.935,20.547
2024-02-01,AAPL US Equity,21.464,18.517,20.025,20.505
2024-02-02,AAPL US Equity,21.316,18.065,19.999,20.395
2024-02-05,AAPL US Equity,21.589,18.048,19.973,20.394
2024-02-06,AAPL US Equity,21.742,18.094,19.992,20.4
2024-02-07,AAPL US Equity,21.736,18.091,19.863,20.354
2024-02-08,AAPL US Equity,21.786,17.975,19.883,20.326
2024-02-09,AAPL US Equity,21.795,17.914,19.858,20.214
2024-02-12,AAPL US Equity,21.892,17.963,19.879,20.224
2024-02-13,AAPL US Equity,19.246,18.049,19.7,20.25
2024-02-14,AAPL US Equity,19.166,17.908,19.309,19.941
2024-02-15,AAPL US Equity,18.763,17.858,19.225,19.804
2024-02-16,AAPL US Equity,18.906,17.91,19.225,19.735
2024-02-20,AAPL US Equity,17.454,17.876,18.966,19.654
2024-02-21,AAPL US Equity,17.508,17.87,18.763,19.57
2024-02-22,AAPL US Equity,17.766,17.877,18.838,19.583
2024-02-23,AAPL US Equity,17.987,17.965,18.85,19.613
2024-02-26,AAPL US Equity,18.088,17.946,18.879,19.547
2024-02-27,AAPL US Equity,17.917,17.946,18.137,19.555
2024-02-28,AAPL US Equity,17.96,17.981,17.619,19.524
2024-02-29,AAPL US Equity,14.926,17.804,17.621,19.497
2024-03-01,AAPL US Equity,14.027,17.839,17.618,19.491
2024-03-04,AAPL US Equity,14.982,18.385,17.844,19.473
2024-03-05,AAPL US Equity,16.447,18.899,18.263,19.694
2024-03-06,AAPL US Equity,16.446,18.434,18.233,19.703
2024-03-07,AAPL US Equity,16.466,18.385,18.224,19.613
2024-03-08,AAPL US Equity,17.002,18.348,18.114,19.622
2024-03-11,AAPL US Equity,17.655,18.452,18.177,19.65
2024-03-12,AAPL US Equity,17.047,18.181,17.939,19.594
2024-03-13,AAPL US Equity,16.511,17.947,17.981,19.633
2024-03-14,AAPL US Equity,16.313,18.031,18.039,19.363
2024-03-15,AAPL US Equity,16.291,17.853,18.007,19.281
2024-03-18,AAPL US Equity,16.08,17.709,17.688,19.231
2024-03-19,AAPL US Equity,16.461,17.838,17.746,19.259
2024-03-20,AAPL US Equity,17.222,18.017,17.871,19.246
2024-03-21,AAPL US Equity,20.917,18.973,18.919,19.655
2024-03-22,AAPL US Equity,20.997,18.956,18.808,19.62
2024-03-25,AAPL US Equity,20.98,18.821,18.813,19.593
2024-03-26,AAPL US Equity,20.857,18.832,18.806,19.605
2024-03-27,AAPL US Equity,22.044,19.132,19.035,19.629
2024-03-28,AAPL US Equity,22.19,19.201,18.97,19.652
2024-04-01,AAPL US Equity,22.191,19.158,18.964,19.614
2024-04-02,AAPL US Equity,22.228,19.176,18.984,19.593
2024-04-03,AAPL US Equity,22.246,19.187,18.96,19.575
2024-04-04,AAPL US Equity,21.846,19.172,18.953,19.571
2024-04-05,AAPL US Equity,21.846,19.197,18.911,19.559
2024-04-08,AAPL US Equity,21.83,19.204,18.934,19.53
2024-04-09,AAPL US Equity,21.793,19.247,18.927,19.538
2024-04-10,AAPL US Equity,21.915,19.307,18.966,19.475
2024-04-11,AAPL US Equity,25.727,20.662,19.989,19.905
2024-04-12,AAPL US Equity,25.839,20.673,19.906,19.864
2024-04-15,AAPL US Equity,25.535,20.649,20.177,19.976
2024-04-16,AAPL US Equity,24.699,20.866,20.374,20.068
2024-04-17,AAPL US Equity,24.758,20.802,20.311,20.052
2024-04-18,AAPL US Equity,24.813,20.754,19.992,20.054
2024-04-19,AAPL US Equity,24.835,20.743,20.038,20.026
2024-04-22,AAPL US Equity,24.591,20.71,19.969,20.018
2024-04-23,AAPL US Equity,24.671,20.516,19.987,20.022
2024-04-24,AAPL US Equity,24.771,20.661,19.884,19.779
2024-04-25,AAPL US Equity,24.587,20.694,19.659,19.784
2024-04-26,AAPL US Equity,24.597,20.663,19.652,19.788
2024-04-29,AAPL US Equity,25.656,21.109,19.873,19.925
2024-04-30,AAPL US Equity,25.873,21.249,19.932,20.0
2024-05-01,AAPL US Equity,25.441,21.263,19.925,20.0
2024-05-02,AAPL US Equity,23.211,21.622,20.197,20.093
2024-05-03,AAPL US Equity,28.937,23.881,21.736,20.914
2024-05-06,AAPL US Equity,28.966,23.925,21.74,20.912
2024-05-07,AAPL US Equity,28.839,23.932,21.643,20.915
2024-05-08,AAPL US Equity,28.262,23.922,21.64,20.731
2024-05-09,AAPL US Equity,28.092,23.17,21.65,20.741
2024-05-10,AAPL US Equity,28.084,23.177,21.682,20.759
2024-05-13,AAPL US Equity,28.267,23.264,21.796,20.82
2024-05-14,AAPL US Equity,28.277,23.274,21.808,20.816
2024-05-15,AAPL US Equity,28.27,23.009,21.878,20.823
2024-05-16,AAPL US Equity,28.288,23.005,21.853,20.317
2024-05-17,AAPL US Equity,28.124,22.986,21.853,20.317
2024-05-20,AAPL US Equity,28.115,23.0,21.866,20.298
2024-05-21,AAPL US Equity,27.72,23.026,21.874,20.284
2024-05-22,AAPL US Equity,25.354,22.961,21.899,20.3
2024-05-23,AAPL US Equity,26.301,23.241,22.101,20.403
2024-05-24,AAPL US Equity,25.548,22.758,22.193,20.464
2024-05-28,AAPL US Equity,24.594,22.603,21.975,20.464
2024-05-29,AAPL US Equity,24.319,22.507,21.961,20.462
2024-05-30,AAPL US Equity,24.12,22.496,21.923,20.425
2024-05-31,AAPL US Equity,23.539,22.507,21.908,20.43
2024-06-03,AAPL US Equity,23.569,22.561,21.866,20.441
2024-06-04,AAPL US Equity,23.593,22.509,21.836,20.38
2024-06-05,AAPL US Equity,23.497,22.537,21.728,20.393
2024-06-06,AAPL US Equity,23.78,22.317,21.753,20.398
2024-06-07,AAPL US Equity,23.748,22.14,21.827,20.387
2024-06-10,AAPL US Equity,24.065,22.296,21.977,20.457
2024-06-11,AAPL US Equity,30.305,25.259,24.296,21.62
2024-06-12,AAPL US Equity,30.692,25.636,24.581,21.742
2024-06-13,AAPL US Equity,30.395,25.616,24.59,21.743
2024-06-14,AAPL US Equity,26.332,25.668,24.608,21.746
2024-06-17,AAPL US Equity,26.29,25.825,24.757,21.826
2024-06-18,AAPL US Equity,26.781,25.914,24.82,21.841
2024-06-20,AAPL US Equity,27.989,26.155,25.043,21.907
2024-06-21,AAPL US Equity,28.303,26.144,25.082,21.934
2024-06-24,AAPL US Equity,28.048,26.124,24.467,21.884
2024-06-25,AAPL US Equity,27.754,26.124,24.44,21.885
2024-06-26,AAPL US Equity,28.151,26.254,24.508,21.968
2024-06-27,AAPL US Equity,28.05,26.237,24.498,21.945
2024-06-28,AAPL US Equity,28.704,26.418,24.406,22.002
2024-07-01,AAPL US Equity,29.644,26.772,24.74,22.182
2024-07-02,AAPL US Equity,29.843,26.802,24.828,22.227
2024-07-03,AAPL US Equity,29.838,26.758,24.827,22.177
2024-07-05,AAPL US Equity,29.977,26.939,25.001,22.273
2024-07-08,AAPL US Equity,28.77,26.903,24.923,22.265
2024-07-09,AAPL US Equity,28.626,26.881,24.902,22.221
2024-07-10,AAPL US Equity,28.784,26.976,24.622,22.286
2024-07-11,AAPL US Equity,30.171,26.91,24.818,22.419
2024-07-12,AAPL US Equity,30.237,26.394,24.826,22.342
2024-07-15,AAPL US Equity,30.385,26.44,24.916,22.383
2024-07-16,AAPL US Equity,30.413,26.431,24.904,22.373
2024-07-17,AAPL US Equity,31.884,26.876,25.223,22.528
2024-07-18,AAPL US Equity,32.836,27.146,25.388,22.621
2024-07-19,AAPL US Equity,32.66,27.149,25.378,22.591
2024-07-22,AAPL US Equity,32.633,27.035,25.193,22.589
2024-07-23,AAPL US Equity,31.789,27.003,25.001,22.578
2024-07-24,AAPL US Equity,26.429,27.543,25.352,22.772
2024-07-25,AAPL US Equity,25.194,27.565,25.349,22.778
2024-07-26,AAPL US Equity,25.156,27.5,25.318,22.717
2024-07-29,AAPL US Equity,25.008,27.419,25.294,22.717
2024-07-30,AAPL US Equity,24.346,26.345,25.295,22.708
2024-07-31,AAPL US Equity,24.458,26.423,25.353,22.729
2024-08-01,AAPL US Equity,24.074,26.57,25.496,22.786
2024-08-02,AAPL US Equity,23.837,26.529,25.463,22.792
2024-08-05,AAPL US Equity,28.359,27.806,26.481,23.329
2024-08-06,AAPL US Equity,28.481,27.796,26.515,23.347
2024-08-07,AAPL US Equity,28.08,27.789,26.566,23.369
2024-08-08,AAPL US Equity,28.515,27.846,26.624,23.388
2024-08-09,AAPL US Equity,28.342,27.907,26.673,23.425
2024-08-12,AAPL US Equity,27.061,27.881,26.679,23.426
