ticker,PX_LAST,CUR_MKT_CAP,EQY_SH_OUT,NAME,weight_pct
NVDA US Equity,172.41,4206804000000.0,24400.0,NVIDIA CORP,11.6314750823678
MSFT US Equity,510.05,3790968998343.25,7432.544,MICROSOFT CORP,10.481724711267349
AAPL US Equity,211.18,3154147734680.0,14935.83,APPLE INC,8.720965079912748
AMZN US Equity,226.13,2400675769794.91,10616.35,AMAZON.COM INC,6.637675631480248
GOOGL US Equity,185.06,2250883660000.0,5820.0,ALPHABET INC-CL A,6.223512482302202
GOOG US Equity,185.94,2250883660000.0,5459.0,ALPHABET INC-CL C,6.223512482302202
META US Equity,704.28,1770790394925.72,2171.1479999999997,META PLATFORMS INC-CLASS A,4.896093175406971
AVGO US Equity,283.34,1332681467189.8599,4703.471,BROADCOM INC,3.68475718820088
TSLA US Equity,329.65,1061788214956.1499,3220.9559999999997,TESLA INC,2.935759109531664
BRK/B US Equity,473.8,1022297158268.6998,1339.906,BERKSHIRE HATHAWAY INC-CL B,2.82656951053051
JPM US Equity,291.27,809466851519.7599,2779.094,JPMORGAN CHASE & CO,2.2381108113082524
WMT US Equity,95.05,758538746488.2,7980.418,WALMART INC,2.097298692496252
LLY US Equity,771.71,731377079233.21,947.7357,ELI LILLY & CO,2.022198864723914
V US Equity,349.05,691860955807.5477,1710.985,VISA INC-CLASS A SHARES,1.9129399582054836
ORCL US Equity,245.45,689428059850.0,2808.833,ORACLE CORP,1.9062131963434596
NFLX US Equity,1209.24,513837934637.04,424.92629999999997,NETFLIX INC,1.420720607165455
MA US Equity,552.66,501841599327.18,901.2632,MASTERCARD INC - A,1.3875517038278224
XOM US Equity,107.77,464449775739.1699,4309.639,EXXON MOBIL CORP,1.2841663156927368
COST US Equity,950.95,421724534931.69995,443.4771,COSTCO WHOLESALE CORP,1.1660344574363857
JNJ US Equity,163.7,393874195772.2999,2406.073,JOHNSON & JOHNSON,1.0890305071767459
PG US Equity,155.1,363638469473.39996,2344.542,PROCTER & GAMBLE CO/THE,1.005431153120092
HD US Equity,359.4,357577117808.99994,994.928,HOME DEPOT INC,0.9886720027413395
BAC US Equity,47.32,356408377193.96,7531.875999999999,BANK OF AMERICA CORP,0.9854405288382082
ABBV US Equity,189.26,334309436890.01996,1766.403,ABBVIE INC,0.9243387343424314
KO US Equity,69.85,300653031649.3,4304.267,COCA-COLA CO/THE,0.8312814778314298
GE US Equity,263.27,280747611502.61,1066.387,GENERAL ELECTRIC,0.7762445903414762
PM US Equity,178.73,278196315938.8599,1556.5169999999998,PHILIP MORRIS INTERNATIONAL,0.7691904630806116
CSCO US Equity,68.05,269477876149.00006,3959.998,CISCO SYSTEMS INC,0.7450846775073168
IBM US Equity,285.87,265686598895.25,929.3965999999999,INTL BUSINESS MACHINES CORP,0.734602100494615
WFC US Equity,80.64,262417272445.44,3254.182,WELLS FARGO & CO,0.7255626755209079
CVX US Equity,150.04,262028941506.19998,1746.394,CHEVRON CORP,0.7244889716726938
UNH US Equity,282.65,256403245648.65,907.1404,UNITEDHEALTH GROUP INC,0.7089343745989836
AMD US Equity,156.99,254544244573.05002,1621.404,ADVANCED MICRO DEVICES,0.7037943859784213
CRM US Equity,262.38,250835280000.0,956.0,SALESFORCE INC,0.6935393969147957
MS US Equity,140.83,225936267021.14,1604.319,MORGAN STANLEY,0.6246956264326999
LIN US Equity,465.01,218891584399.66998,470.7245,LINDE PLC,0.6052176449591589
DIS US Equity,121.42,218282357081.62,1797.7459999999999,WALT DISNEY CO/THE,0.6035331803705077
ABT US Equity,123.67,215165575626.55,1739.836,ABBOTT LABORATORIES,0.5949155300516831
MRK US Equity,79.96,200782058989.88,2511.031,MERCK & CO. INC.,0.5551462621332705
TXN US Equity,216.62,196793221752.98,908.4721,TEXAS INSTRUMENTS INC,0.5441174476392691
PEP US Equity,143.24,196106618700.96002,1369.077,PEPSICO INC,0.5422190453626125
CAT US Equity,413.71,194574009548.37997,470.315,CATERPILLAR INC,0.5379815041866405
ACN US Equity,282.44,177012442013.00006,626.0258,ACCENTURE PLC-CL A,0.4894251808601697
VZ US Equity,40.84,172191850687.76,4216.255,VERIZON COMMUNICATIONS INC,0.4760966331356244
QCOM US Equity,154.8,169970400000.00003,1098.0,QUALCOMM INC,0.4699545004568999
TMO US Equity,414.75,156565600002.0,377.4939,THERMO FISHER SCIENTIFIC INC,0.4328913054136173
ADBE US Equity,365.79,155168118000.00003,424.2,ADOBE INC,0.4290273799527876
DHR US Equity,190.05,136013006339.7,715.6696,DANAHER CORP,0.37606503514738365
COP US Equity,91.64,115687254782.64,1262.4099999999999,CONOCOPHILLIPS,0.31986596507748216
NKE US Equity,72.47,107031196065.23999,1188.0159999999998,NIKE INC -CL B,0.29593265815779896
