ticker,timestamp,VOLATILITY_30D,VOLATILITY_90D,VOLATILITY_120D,VOLATILITY_260D,1MTH_IMPVOL_100.0%MNY_DF,3MTH_IMPVOL_100.0%MNY_DF,6MTH_IMPVOL_100.0%MNY_DF
SPX Index,2025-07-18T16:48:36.740947,9.29035,26.64583,24.5506,19.82167,,14.9244,15.9496
SPY US Equity,2025-07-18T16:48:36.741050,9.439338674888639,28.07721284460071,25.685809583472473,20.409135411338237,,14.7446,15.7217
AAPL US Equity,2025-07-18T16:48:36.741108,18.065548882950967,43.593139105721974,40.518056548243536,31.846448352002692,,25.9849,26.2443
MSFT US Equity,2025-07-18T16:48:36.741172,11.889448550880722,28.775420870641312,29.10220436515893,25.333382741366822,,20.7956,22.0677
NVDA US Equity,2025-07-18T16:48:36.741223,25.321683248169325,53.311732832765315,56.52107451352061,57.736953999513254,,39.1903,39.2482
AMZN US Equity,2025-07-18T16:48:36.741274,22.20315657588602,40.94091036553856,38.4999227145436,34.56283256020277,,28.5653,29.5698
META US Equity,2025-07-18T16:48:36.741325,22.502148502144667,46.475326262660424,43.04025641995157,36.66616640633896,,31.5295,32.2613
GOOGL US Equity,2025-07-18T16:48:36.741376,24.44977253403707,36.07294154041128,36.16322200496453,32.102624029817704,,30.3897,30.4124
GOOG US Equity,2025-07-18T16:48:36.741426,23.338100603422504,35.860271808837936,35.79515840814773,31.805757672083857,,30.1912,30.2868
LLY US Equity,2025-07-18T16:48:36.741661,27.85812878409904,46.820468408525066,43.44413777886274,39.34516394235714,,38.62,36.5377
UNH US Equity,2025-07-18T16:48:37.619994,32.888179851954966,67.98346214025246,61.014327063682714,47.49519688797906,,46.1727,42.8303
XOM US Equity,2025-07-18T16:48:37.620285,26.23139865649512,30.11846584463064,29.328012952282762,24.905830160941814,,21.5895,21.8383
MA US Equity,2025-07-18T16:48:37.620352,28.27998732163181,29.650157758813446,27.68186132111472,22.932143805461553,,21.0329,22.0249
PG US Equity,2025-07-18T16:48:37.620416,14.607077972274956,21.59743567591849,21.529040040527835,19.7282984817468,,19.9465,19.4025
JNJ US Equity,2025-07-18T16:48:37.620467,22.3793667830134,25.016286711143902,23.13033767643878,20.16528685261715,,14.9889,16.3122
COST US Equity,2025-07-18T16:48:37.620521,14.16338677797058,24.550305935570833,26.063206897597762,22.595255320229334,,21.9445,22.2465
HD US Equity,2025-07-18T16:48:37.620580,18.962940785582735,25.675176774206363,24.75653333471737,23.051335583738393,,22.7382,23.1068
